reference_year,source_report,pdf_page,table_no,sl_no,district_as_published,is_state_total,land_use_category,measure,unit,raw_value,value,cell_status
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,6,Boudh,0,Land under misc. tree crops & groves not included in net area sown,pct_of_area_under_survey,%,-,,dash
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,6,Boudh,0,Cultivable waste,area,'000 ha,16,16,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,6,Boudh,0,Cultivable waste,pct_of_area_under_survey,%,7.92,7.92,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,6,Boudh,0,Old fallows,area,'000 ha,13,13,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,6,Boudh,0,Old fallows,pct_of_area_under_survey,%,6.44,6.44,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,6,Boudh,0,Current fallows,area,'000 ha,14,14,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,6,Boudh,0,Current fallows,pct_of_area_under_survey,%,6.93,6.93,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,6,Boudh,0,Net area sown,area,'000 ha,69,69,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,6,Boudh,0,Net area sown,pct_of_area_under_survey,%,34.16,34.16,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,6,Boudh,0,Total area under survey,area,'000 ha,202,202,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,6,Boudh,0,Total area under survey,pct_of_geographical_area,%,58.72,58.72,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,6,Boudh,0,Area not included under survey,area,'000 ha,142,142,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,6,Boudh,0,Geographical area,area,'000 ha,344,344,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,7,Cuttack,0,Forest,area,'000 ha,21,21,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,7,Cuttack,0,Forest,pct_of_area_under_survey,%,6.29,6.29,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,7,Cuttack,0,Land put to non-agricultural uses,area,'000 ha,79,79,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,7,Cuttack,0,Land put to non-agricultural uses,pct_of_area_under_survey,%,23.65,23.65,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,7,Cuttack,0,Barren and un-cultivable land,area,'000 ha,7,7,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,7,Cuttack,0,Barren and un-cultivable land,pct_of_area_under_survey,%,2.10,2.10,ok
