reference_year,source_report,pdf_page,table_no,crop_table,product,sl_no,district_as_published,is_state_total,season,measure,unit,raw_value,value,cell_status
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,74,5.1,Paddy,paddy,6,Boudh,0,Autumn,yield_rate,qtl/ha,36.99,36.99,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,74,5.1,Paddy,rice,6,Boudh,0,Autumn,yield_rate,qtl/ha,24.41,24.41,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,74,5.1,Paddy,paddy,6,Boudh,0,Autumn,production,'000 MT,7.41,7.41,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,74,5.1,Paddy,rice,6,Boudh,0,Autumn,production,'000 MT,4.89,4.89,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,74,5.1,Paddy,paddy,6,Boudh,0,Winter,area,'000 ha,62.26,62.26,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,74,5.1,Paddy,paddy,6,Boudh,0,Winter,yield_rate,qtl/ha,47.92,47.92,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,74,5.1,Paddy,rice,6,Boudh,0,Winter,yield_rate,qtl/ha,31.62,31.62,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,74,5.1,Paddy,paddy,6,Boudh,0,Winter,production,'000 MT,298.32,298.32,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,74,5.1,Paddy,rice,6,Boudh,0,Winter,production,'000 MT,196.89,196.89,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,74,5.1,Paddy,paddy,6,Boudh,0,Summer,area,'000 ha,5.41,5.41,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,74,5.1,Paddy,paddy,6,Boudh,0,Summer,yield_rate,qtl/ha,46.28,46.28,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,74,5.1,Paddy,rice,6,Boudh,0,Summer,yield_rate,qtl/ha,30.54,30.54,ok
